id,time,nodeaddr,appeui,gwaddr,modulation,datarate,snr,rssi,freq,lat,lon,alt,accuracy,hdop,sats,provider,name,mqtt_topic,user_agent,user_id
7340090,2019-07-13 08:15:58,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF11BW125,10.50,-39.00,868.300,41.437830,-1.238944,442.0,0.00,0.9,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7340118,2019-07-13 08:16:35,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF11BW125,9.50,-30.00,868.100,41.437833,-1.238938,448.0,0.00,0.9,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7340188,2019-07-13 08:17:57,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF11BW125,11.00,-29.00,868.300,41.437768,-1.239105,478.0,0.00,0.9,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7340219,2019-07-13 08:18:42,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF11BW125,11.50,-47.00,867.100,41.437794,-1.239103,475.0,0.00,0.9,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7340476,2019-07-13 08:24:07,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF12BW125,9.25,-39.00,868.300,41.437844,-1.239060,474.0,0.00,0.9,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7340591,2019-07-13 08:26:35,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF12BW125,8.75,-41.00,868.500,41.437691,-1.238928,480.0,0.00,0.9,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7340705,2019-07-13 08:29:04,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF12BW125,9.25,-42.00,867.100,41.437775,-1.238877,472.0,0.00,0.9,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7340837,2019-07-13 08:32:10,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF12BW125,9.00,-24.00,867.100,41.437851,-1.239051,475.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341294,2019-07-13 08:41:52,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF7BW125,9.00,-55.00,867.900,41.437792,-1.239146,465.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341327,2019-07-13 08:42:37,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF7BW125,9.00,-36.00,868.300,41.437790,-1.239131,455.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341341,2019-07-13 08:42:53,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF7BW125,10.25,-28.00,868.300,41.437769,-1.239136,457.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341360,2019-07-13 08:43:16,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF7BW125,6.75,-27.00,868.500,41.437737,-1.239124,447.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341380,2019-07-13 08:43:39,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF7BW125,9.75,-33.00,867.100,41.437757,-1.239143,453.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341438,2019-07-13 08:44:50,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF8BW125,10.75,-36.00,868.100,41.437771,-1.239091,465.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341454,2019-07-13 08:45:13,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF8BW125,11.75,-39.00,868.300,41.437797,-1.239109,462.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341470,2019-07-13 08:45:29,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF8BW125,12.00,-36.00,868.100,41.437774,-1.239042,460.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341489,2019-07-13 08:45:52,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF8BW125,10.75,-34.00,868.300,41.437769,-1.238992,470.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341494,2019-07-13 08:45:59,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF8BW125,11.75,-49.00,867.100,41.437763,-1.238983,473.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341508,2019-07-13 08:46:15,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF8BW125,7.50,-31.00,868.500,41.437850,-1.238977,463.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341530,2019-07-13 08:46:38,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF8BW125,11.25,-39.00,867.100,41.437840,-1.239053,469.0,0.00,0.7,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341588,2019-07-13 08:47:49,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF9BW125,12.75,-49.00,868.300,41.437849,-1.239021,475.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341621,2019-07-13 08:48:29,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF9BW125,12.50,-39.00,868.100,41.437839,-1.239072,460.0,0.00,0.8,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341658,2019-07-13 08:49:15,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF9BW125,8.50,-39.00,868.500,41.437887,-1.239174,461.0,0.00,1.0,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341728,2019-07-13 08:50:48,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF10BW125,10.50,-49.00,868.100,41.437915,-1.238788,391.0,0.00,1.2,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341762,2019-07-13 08:51:25,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF10BW125,11.25,-42.00,868.300,41.437970,-1.238792,396.0,0.00,1.2,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341766,2019-07-13 08:51:28,hab_gus_jos,hab_2019,ttn_arrow_mad,LORA,SF10BW125,12.00,-34.00,868.100,41.437977,-1.238738,389.0,0.00,1.2,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
7341792,2019-07-13 08:52:02,hab2019_pape,hab_2019,ttn_arrow_mad,LORA,SF10BW125,8.50,-59.00,868.500,41.437993,-1.238744,393.0,0.00,1.2,0,hdop,SERVET_IV_G4lile0,null,ttn-v2-integration,g4lile00@gmail.com
